Street,No,APN,Lot Area,ResSize,YrBlt,Age,Reno/New:,Downslope:,Upslope:,"""Flat"":",1-story:,Front,Side_Sm,Side_Lg,Rear,Slope,Story
AltaMesa,181,073063050,"  15,750 ","  2,040 ",1938,  81 ,1996,,,√,√,  11 ,  11 ,  16 ,  48 ,F,1
AltaMesa,188,073041210,"  20,000 ","  2,360 ",1964,  55 ,2014,√,,,,  21 ,  6 ,  90 ,  32 ,D,
AltaMesa,190,073041220,"  18,000 ","  1,630 ",1994,  25 ,1994,,,√,√,  16 ,  9 ,  94 ,  72 ,F,1
AltaVista,103,073031020,"  12,600 ","  2,162 ",2012,  7 ,2012,,,√,√,  43 ,  9 ,  20 ,  10 ,F,1
AltaVista,115,073032030,"  16,700 ","  2,162 ",1936,  83 ,2011,,,√,√,  52 ,  15 ,  18 ,  54 ,F,1
AltaVista,120,073032130,"  16,500 ","  2,343 ",1961,  58 ,2012,,,√,√,  45 ,  13 ,  19 ,  72 ,F,1
AltaVista,123,073031040,"  16,700 ","  2,670 ",1948,  71 ,1993,,,√,√,  35 ,  13 ,  15 ,  61 ,F,1
AltaVista,124,073032140,"  8,250 ","  1,020 ",1929,  90 ,2015,,,√,,  34 ,  10 ,  11 ,  87 ,F,
AltaVista,128,073032150,"  8,250 ","  1,280 ",1929,  90 ,2005,,,√,,  7 ,  3 ,  13 ,  109 ,F,
AltaVista,131,073031050,"  8,350 ","  1,770 ",1931,  88 ,2004,,,√,√,  23 ,0,  14 ,  46 ,F,1
AltaVista,132,073032160,"  16,500 ","  2,130 ",1936,  83 ,n/a,,,√,,  8 ,  8 ,  23 ,  116 ,F,
AltaVista,135,073031060,"  9,853 ","  1,110 ",1928,  91 ,2018,,,√,√,  17 ,  4 ,  30 ,  87 ,F,1
AltaVista,138,073032040,"  15,400 ","  1,460 ",1928,  91 ,2010,,,√,,  11 ,  11 ,  30 ,  53 ,F,
AltaVista,142,073032030,"  11,700 ","  2,990 ",1997,  22 ,1998,,,√,,  24 ,0,  25 ,  70 ,F,
AltaVista,143,073031070,"  9,450 ","  1,799 ",2000,  19 ,2000,,,√,,  44 ,  7 ,  21 ,  26 ,F,
AltaVista,148,073032210,"  17,375 ","  2,702 ",1924,  95 ,2018,,√,,,0,  20 ,  65 ,  80 ,U,
AltaVista,151,073031080,"  7,475 ","  1,560 ",1974,  45 ,2017,,,√,,  40 ,  11 , n/a ,0,F,
AltaVista,156,073032010,"  19,000 ","  3,400 ",2002,  17 ,2002,,√,,,  12 ,  16 ,  16 ,  45 ,U,
